nimi,lataukset_kk,viimeinen_julkaisu,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
deep-eql,215070711,2024-06-03,692,425385,1,0,112,22,False,23,https://github.com/chaijs/deep-eql
character-entities-legacy,213663105,2021-10-29,91,409959,1,0,5,0,False,9,https://github.com/wooorm/character-entities-legacy
ansi-colors,213657748,2022-05-16,3032,3150703,2,0,454,19,False,29,https://github.com/doowb/ansi-colors
@types/istanbul-lib-report,213136815,2023-11-07,84,1972820,1,0,51421,683,False,6,https://github.com/DefinitelyTyped/DefinitelyTyped
escodegen,212777751,2023-06-29,3108,2366133,2,0,2689,144,False,60,https://github.com/estools/escodegen
@sinonjs/commons,212691606,2024-01-20,18,1806144,6,0,4,2,False,25,https://github.com/sinonjs/commons
setimmediate,211722260,2016-09-12,1342,983948,1,0,1303,19,False,6,https://github.com/yuzujs/setImmediate
any-promise,211715429,2016-05-08,912,841679,1,0,177,6,False,8,https://github.com/kevinbeaty/any-promise
array-union,211653050,2021-03-01,1900,3770523,1,0,79,0,False,8,https://github.com/sindresorhus/array-union
array-flatten,211498446,2019-11-21,1118,4097259,1,0,87,8,False,12,https://github.com/blakeembrey/array-flatten
@cspotcode/source-map-support,210789697,2022-05-02,37,228291,1,0,16,14,False,7,https://github.com/cspotcode/node-source-map-support
array.prototype.tosorted,210725811,2024-06-03,733,525562,1,0,10,2,False,6,https://github.com/es-shims/Array.prototype.toSorted
dir-glob,210584696,2019-06-29,1249,3220445,1,0,44,0,False,10,https://github.com/kevva/dir-glob
character-entities,208630827,2022-06-22,98,416996,1,0,10,0,False,10,https://github.com/wooorm/character-entities
process,207662985,2017-04-26,5072,951523,3,0,129,16,False,21,https://github.com/shtylman/node-process
@protobufjs/base64,206774070,2017-06-09,70,390737,2,0,10583,84,False,9,https://github.com/dcodeIO/protobuf.js
@types/range-parser,206647040,2023-11-07,62,1490192,1,0,51432,691,False,8,https://github.com/DefinitelyTyped/DefinitelyTyped
stack-utils,206347897,2022-11-08,1077,2122038,2,0,196,17,False,18,https://github.com/tapjs/stack-utils
thenify,205706546,2020-06-17,342,626473,3,1,109,2,False,9,https://github.com/thenables/thenify
unified,205211747,2024-06-19,2872,524269,2,0,5029,1,False,57,https://github.com/unifiedjs/unified
string.prototype.repeat,205088755,2020-05-21,113,75067,2,0,27,2,False,3,https://github.com/mathiasbynens/String.prototype.repeat
css.escape,204249907,2016-08-23,354,1100489,1,0,499,5,False,10,https://github.com/mathiasbynens/CSS.escape
postcss-load-config,203854481,2024-06-02,1791,2814519,2,0,663,11,False,30,https://github.com/postcss/postcss-load-config
mdast-util-to-string,203401490,2023-07-07,467,270842,2,0,46,0,False,17,https://github.com/syntax-tree/mdast-util-to-string
formdata-polyfill,203178653,2021-09-30,445,54660,1,0,359,4,False,44,https://github.com/jimmywarting/FormData
bluebird,202514522,2019-11-28,30080,8603,1,0,20486,131,False,223,https://github.com/petkaantonov/bluebird
progress,202448671,2018-12-05,4657,678995,5,0,2986,70,False,20,https://github.com/visionmedia/node-progress
archiver-utils,201300577,2024-03-10,63,180429,1,0,8,23,False,16,https://github.com/archiverjs/archiver-utils
object.groupby,200379339,2024-03-18,53,345709,1,0,4,1,False,4,https://github.com/es-shims/Object.groupBy
lodash.isstring,199681096,2016-02-03,1109,822612,2,0,61278,105,False,11,https://github.com/lodash/lodash
define-property,199573947,2018-01-26,1057,968223,2,0,21,4,False,12,https://github.com/jonschlinkert/define-property
rfdc,199117106,2024-06-12,584,773148,2,0,698,24,False,14,https://github.com/davidmarkclements/rfdc
get-package-type,198943827,2020-05-19,844,1077415,1,0,5,3,False,1,https://github.com/cfware/get-package-type
lie,198913842,2018-03-06,321,724435,1,0,741,5,False,47,https://github.com/calvinmetcalf/lie
defaults,198129692,2023-10-18,1246,1174952,1,0,76,0,False,9,https://github.com/sindresorhus/node-defaults
space-separated-tokens,197763707,2022-11-14,143,393761,1,0,10,0,False,10,https://github.com/wooorm/space-separated-tokens
bundle-name,197524635,2023-12-18,141,61806,1,0,11,0,False,9,https://github.com/sindresorhus/bundle-name
lodash.once,197241376,2016-08-13,250,731125,2,0,61277,104,False,12,https://github.com/lodash/lodash
react-transition-group,196979368,2022-08-01,7804,820354,3,0,10226,258,False,44,https://github.com/reactjs/react-transition-group
webpack-virtual-modules,196856985,2024-06-04,388,159121,1,0,518,4,False,27,https://github.com/sysgears/webpack-virtual-modules
lodash.camelcase,196740851,2016-08-13,4541,1028107,2,0,61277,104,False,8,https://github.com/lodash/lodash
jest-get-type,195927026,2023-08-21,988,2102211,6,0,45461,193,False,99,https://github.com/jestjs/jest
comma-separated-tokens,195307753,2022-11-14,105,392942,1,0,11,0,False,13,https://github.com/wooorm/comma-separated-tokens
client-only,195210804,2022-09-03,81,249350,1,0,,,,1,
is-decimal,194371145,2021-11-04,107,404248,1,0,5,0,False,7,https://github.com/wooorm/is-decimal
smart-buffer,194330811,2021-08-07,563,1127360,1,0,108,21,False,32,https://github.com/JoshGlazebrook/smart-buffer
json-bigint,192885004,2020-07-14,846,154682,1,1,878,58,False,17,https://github.com/sidorares/json-bigint
array.prototype.findlast,192480855,2024-03-19,319,194,1,0,4,1,False,9,https://github.com/es-shims/Array.prototype.findLast
lodash.debounce,190998829,2016-08-13,5499,1200377,2,0,61278,105,False,22,https://github.com/lodash/lodash
make-error,190889448,2020-02-19,928,1000848,3,0,70,20,False,22,https://github.com/JsCommunity/make-error
lodash.includes,190676049,2016-08-13,454,608242,2,0,61278,105,False,13,https://github.com/lodash/lodash
lodash.isnumber,190185036,2016-02-03,367,615644,2,0,58818,71,False,11,https://github.com/lodash/lodash
is-alphabetical,189732745,2021-11-04,108,404248,1,0,4,0,False,7,https://github.com/wooorm/is-alphabetical
devlop,189691063,2023-06-29,51,1568,1,0,41,0,False,2,https://github.com/wooorm/devlop
bser,188456333,2019-10-22,953,992341,2,0,13698,258,False,7,https://github.com/facebook/watchman
wordwrap,188299318,2015-05-07,1209,2192392,1,0,142,16,False,4,https://github.com/substack/node-wordwrap
trough,188271776,2024-02-05,100,521737,1,0,69,0,False,11,https://github.com/wooorm/trough
bail,188151781,2021-11-07,158,522552,1,0,12,0,False,9,https://github.com/wooorm/bail
character-reference-invalid,187924857,2021-10-27,87,401468,1,0,5,0,False,9,https://github.com/wooorm/character-reference-invalid
camelcase-css,187610403,2018-08-11,219,1073124,1,0,15,0,False,4,https://github.com/stevenvachon/camelcase-css
set-blocking,187416696,2016-05-17,1222,3960025,1,0,39,2,False,2,https://github.com/yargs/set-blocking
fb-watchman,187320625,2022-09-21,1100,992304,2,0,13698,258,False,17,https://github.com/facebook/watchman
@babel/plugin-syntax-import-meta,186548514,2020-06-30,4201,1681753,4,0,43990,780,False,33,https://github.com/babel/babel
node-int64,186362653,2015-04-04,1166,1430044,2,0,205,0,True,7,https://github.com/broofa/node-int64
wcwidth,186128534,2016-05-30,837,1107578,1,0,54,5,False,3,https://github.com/timoxley/wcwidth
@aws-crypto/util,185321726,2023-10-16,13,65199,2,0,69,33,False,11,https://github.com/aws/aws-sdk-js-crypto-helpers
lodash.isinteger,185230609,2016-08-13,100,610304,2,0,61277,104,False,5,https://github.com/lodash/lodash
@babel/plugin-syntax-optional-chaining,185051931,2020-01-13,168,3665838,4,0,43991,774,False,38,https://github.com/babel/babel
is-buffer,185020876,2020-11-03,1461,971086,1,0,94,8,False,16,https://github.com/feross/is-buffer
@babel/plugin-syntax-nullish-coalescing-operator,184847569,2020-01-13,84,3661245,4,0,43991,774,False,38,https://github.com/babel/babel
pg-int8,184741167,2017-11-14,5,204798,1,0,2,0,False,2,https://github.com/charmander/pg-int8
ccount,184268817,2021-10-28,89,432239,1,0,6,1,False,9,https://github.com/wooorm/ccount
longest-streak,184114710,2022-11-15,40,278360,1,0,9,1,False,9,https://github.com/wooorm/longest-streak
@types/stack-utils,183566356,2023-11-07,63,1905659,1,0,51432,691,False,6,https://github.com/DefinitelyTyped/DefinitelyTyped
mdast-util-phrasing,182923482,2024-02-01,22,43401,2,0,1,0,False,9,https://github.com/syntax-tree/mdast-util-phrasing
ts-node,182651561,2023-12-08,120593,883542,2,0,13129,232,False,128,https://github.com/TypeStrong/ts-node
min-indent,182476641,2020-05-28,665,1261772,2,0,19,2,False,2,https://github.com/thejameskyle/min-indent
damerau-levenshtein,182386795,2022-01-06,257,2038337,1,0,51,6,False,11,https://github.com/tad-lispy/node-damerau-levenshtein
tree-kill,181913822,2019-12-11,1298,1070896,2,3,359,24,False,13,https://github.com/pkrumins/node-tree-kill
cssom,181149179,2021-06-20,781,2147832,2,0,757,25,False,21,https://github.com/NV/CSSOM
immediate,180719993,2020-06-09,125,888684,1,0,145,13,False,31,https://github.com/calvinmetcalf/immediate
remark-parse,180603864,2023-09-18,1932,376321,3,0,8994,11,False,31,https://github.com/remarkjs/remark
is-alphanumerical,179876245,2021-11-04,100,404220,1,0,6,0,False,7,https://github.com/wooorm/is-alphanumerical
@rtsao/scc,179214874,2022-04-06,5,3,1,0,9,0,False,2,https://github.com/rtsao/scc
hast-util-whitespace,178926006,2023-07-31,56,121932,2,0,4,0,False,8,https://github.com/syntax-tree/hast-util-whitespace
diff-sequences,178345690,2023-08-21,866,1907072,8,0,45457,193,False,69,https://github.com/jestjs/jest
is-hexadecimal,178253505,2021-11-04,100,401903,1,0,2,0,False,7,https://github.com/wooorm/is-hexadecimal
through,178212479,2015-07-03,4094,829588,1,0,670,14,True,29,https://github.com/dominictarr/through
zwitch,178163384,2022-11-16,86,248296,1,0,17,0,False,11,https://github.com/wooorm/zwitch
@babel/plugin-syntax-async-generators,177084677,2020-01-13,208,4255829,4,0,43990,773,False,38,https://github.com/babel/babel
import-local,176868308,2024-07-22,2488,3448463,1,0,155,2,False,10,https://github.com/sindresorhus/import-local
@babel/plugin-syntax-numeric-separator,176736252,2020-06-30,38,3420436,4,0,43990,780,False,40,https://github.com/babel/babel
makeerror,176644292,2021-10-23,979,1401481,1,0,12,0,False,11,https://github.com/daaku/nodejs-makeerror
walker,176618763,2021-10-23,1074,983878,1,0,105,0,False,11,https://github.com/daaku/nodejs-walker
@babel/plugin-syntax-json-strings,176419492,2020-01-13,54,4444129,4,0,43990,780,False,19,https://github.com/babel/babel
crc-32,176333150,2022-04-04,656,157349,1,0,351,2,False,15,https://github.com/SheetJS/js-crc32
tmpl,176169789,2021-09-07,1004,1401565,1,1,20,0,False,5,https://github.com/daaku/nodejs-tmpl
unist-util-position,175946393,2023-07-07,179,213048,2,0,8,0,False,13,https://github.com/syntax-tree/unist-util-position
@babel/plugin-syntax-top-level-await,175936098,2021-06-09,301,3633475,4,0,43991,774,False,9,https://github.com/babel/babel
is-inside-container,175934735,2023-02-15,142,61752,1,0,74,0,False,1,https://github.com/sindresorhus/is-inside-container
uglify-js,175466961,2024-08-29,26568,2199119,3,3,13382,45,False,288,https://github.com/mishoo/UglifyJS
deep-extend,174658303,2018-05-22,1932,2907130,1,1,201,13,False,21,https://github.com/unclechu/node-deep-extend
@types/retry,174556124,2023-11-07,139,1092568,1,0,47049,681,False,9,https://github.com/DefinitelyTyped/DefinitelyTyped
@babel/plugin-syntax-object-rest-spread,174334344,2020-01-13,912,4657287,4,0,43991,774,False,38,https://github.com/babel/babel
json-schema,173789188,2021-11-09,2341,1556405,1,1,529,30,False,7,https://github.com/kriszyp/json-schema
detect-newline,173747687,2023-09-22,1122,2109804,1,0,56,0,False,13,https://github.com/sindresorhus/detect-newline
requires-port,173728037,2015-10-30,549,1725022,2,0,11,2,False,3,https://github.com/unshiftio/requires-port
resolve-cwd,172872231,2019-04-30,1547,3467571,1,0,70,0,False,3,https://github.com/sindresorhus/resolve-cwd
v8-to-istanbul,172804249,2024-06-22,897,1099851,2,0,136,39,False,55,https://github.com/istanbuljs/v8-to-istanbul
glob-to-regexp,171961990,2019-04-01,885,2209082,1,0,150,9,True,8,https://github.com/fitzgen/glob-to-regexp
graphemer,171530080,2022-09-19,245,780852,1,0,160,5,True,6,https://github.com/flmnt/graphemer
@istanbuljs/load-nyc-config,171291866,2020-05-20,45,1817306,5,0,3,7,False,5,https://github.com/istanbuljs/load-nyc-config
mimic-function,171126682,2024-03-14,5,4,1,0,96,0,False,2,https://github.com/sindresorhus/mimic-function
arrify,171040452,2021-04-28,1456,2398973,1,0,132,0,False,5,https://github.com/sindresorhus/arrify
fast-fifo,170483231,2023-08-21,34,36607,1,0,63,2,False,6,https://github.com/mafintosh/fast-fifo
@babel/plugin-syntax-class-properties,170464355,2021-02-03,675,3086265,4,0,43985,777,False,42,https://github.com/babel/babel
character-entities-html4,170213328,2021-10-29,17,215673,1,0,4,0,False,9,https://github.com/wooorm/character-entities-html4
@types/mime,168369138,2024-03-31,1428,1509678,1,0,46855,685,False,27,
@babel/plugin-syntax-optional-catch-binding,167615928,2020-01-13,65,4539577,4,0,43991,774,False,38,https://github.com/babel/babel
fs-constants,167523494,2018-04-26,179,608825,1,0,11,0,False,1,https://github.com/mafintosh/fs-constants
fast-diff,167312498,2023-05-19,721,731517,2,0,652,1,False,7,https://github.com/jhchen/fast-diff
path-browserify,167063412,2020-03-03,2997,745742,1,0,192,15,False,4,https://github.com/browserify/path-browserify
@babel/plugin-syntax-bigint,166939533,2020-01-13,235,1763011,4,0,43991,774,False,21,https://github.com/babel/babel
stringify-entities,166931803,2024-04-03,76,215704,1,0,20,0,False,16,https://github.com/wooorm/stringify-entities
spdx-exceptions,166352369,2024-02-15,1085,916734,1,0,16,2,False,12,https://github.com/kemitchell/spdx-exceptions.json
@aws-crypto/sha256-js,166100336,2023-10-16,1561,71832,2,0,69,33,False,19,https://github.com/aws/aws-sdk-js-crypto-helpers
require-main-filename,166019568,2019-01-28,1021,3489281,1,0,20,7,False,3,https://github.com/yargs/require-main-filename
@babel/plugin-syntax-logical-assignment-operators,165156784,2020-06-30,48,2661293,4,0,43991,774,False,28,https://github.com/babel/babel
he,164801203,2018-09-23,2111,2827549,2,0,3597,23,False,27,https://github.com/mathiasbynens/he
asap,164770496,2017-07-10,929,2638377,2,0,609,14,False,9,https://github.com/kriskowal/asap
chrome-trace-event,164265772,2024-05-29,677,1195361,2,0,27,0,False,9,https://github.com/samccone/chrome-trace-event
regenerate,163665649,2020-11-01,1313,3619401,1,0,378,6,False,26,https://github.com/mathiasbynens/regenerate
util,162549516,2022-10-16,5372,701284,6,0,255,23,False,14,https://github.com/browserify/node-util
ts-interface-checker,162392951,2021-10-11,151,697518,2,0,329,25,False,19,https://github.com/gristlabs/ts-interface-checker
unicode-canonical-property-names-ecmascript,162056002,2024-09-12,966,3422841,2,0,14,1,False,7,https://github.com/mathiasbynens/unicode-canonical-property-names-ecmascript
concat-stream,161870212,2018-12-21,4740,1049268,3,1,573,18,False,37,https://github.com/maxogden/concat-stream
minimalistic-assert,161853643,2018-04-11,652,1537126,2,0,18,1,False,2,https://github.com/calvinmetcalf/minimalistic-assert
co,161233427,2015-07-09,10884,1566701,3,0,11836,44,False,34,https://github.com/tj/co
@xtuc/ieee754,160582163,2018-07-19,8,1119262,1,0,122,5,False,1,https://github.com/feross/ieee754
which-module,160351673,2023-04-21,1003,3468922,1,0,27,8,False,4,https://github.com/nexdrew/which-module
fast-safe-stringify,159768385,2021-09-08,760,353584,3,0,359,9,False,36,https://github.com/davidmarkclements/fast-safe-stringify
h3,159354055,2016-10-16,330,10648,1,10,5415,61,False,151,h3js/h3
ast-types-flow,157285345,2023-04-15,547,2035986,1,0,16,0,False,8,https://github.com/kyldvs/ast-types-flow
xml2js,156693192,2023-07-26,8930,1065103,1,1,4963,249,False,52,https://github.com/Leonidas-from-XIV/node-xml2js
rc,156679894,2018-05-26,2071,2862005,9,1,1023,37,False,48,https://github.com/dominictarr/rc
tunnel-agent,155795504,2017-03-05,805,4021,4,1,117,33,False,8,https://github.com/mikeal/tunnel-agent
commondir,155691712,2015-03-14,1266,1447358,1,0,45,1,False,5,https://github.com/substack/node-commondir
micromark-extension-gfm-autolink-literal,155419001,2024-07-05,30,53688,1,0,9,0,False,20,https://github.com/micromark/micromark-extension-gfm-autolink-literal
json-stringify-safe,154521646,2015-05-19,2507,5239,2,0,555,7,False,5,https://github.com/isaacs/json-stringify-safe
pend,154266240,2014-11-23,252,742033,1,0,15,0,False,6,https://github.com/andrewrk/node-pend
@babel/plugin-syntax-private-property-in-object,154015087,2021-06-09,10,1674102,4,0,43990,780,False,2,https://github.com/babel/babel
spdx-correct,153982493,2023-03-07,1174,4063,2,0,35,2,False,18,https://github.com/jslicense/spdx-correct.js
compressible,153868882,2020-01-06,948,3417401,5,0,103,8,False,26,https://github.com/jshttp/compressible
jest-pnp-resolver,153715933,2022-11-15,2302,1909842,1,0,25,3,False,9,https://github.com/arcanis/jest-pnp-resolver
trim-lines,153070060,2022-07-03,23,106908,1,0,51,0,False,8,https://github.com/wooorm/trim-lines
mdast-util-gfm-table,153036676,2023-07-10,42,53511,2,0,15,1,False,16,https://github.com/syntax-tree/mdast-util-gfm-table
redux,152997394,2023-12-23,21274,932901,6,0,61486,25,False,85,https://github.com/reduxjs/redux
text-table,152806188,2013-10-05,2289,2282127,1,0,,,,5,https://github.com/substack/text-table
estree-util-is-identifier-name,152060404,2023-07-19,42,33503,2,0,3,0,False,6,https://github.com/syntax-tree/estree-util-is-identifier-name
@xtuc/long,151993981,2019-02-18,10,1612951,1,0,919,2,False,5,https://github.com/dcodeIO/long.js
dlv,151578997,2019-05-22,423,1110040,1,0,1251,10,False,7,https://github.com/developit/dlv
@aws-crypto/supports-web-crypto,151234829,2023-10-16,10,71361,2,0,69,33,False,14,https://github.com/aws/aws-sdk-js-crypto-helpers
unicode-match-property-ecmascript,151168242,2021-09-14,962,3422853,2,0,7,0,False,6,https://github.com/mathiasbynens/unicode-match-property-ecmascript
regjsgen,150863353,2023-06-06,785,3603178,1,0,32,2,False,13,https://github.com/bnjmnt4n/regjsgen
validate-npm-package-license,150771855,2018-08-05,1233,3917,1,0,29,0,False,10,https://github.com/kemitchell/validate-npm-package-license.js
micromark-extension-gfm-task-list-item,150691656,2024-07-05,22,53720,1,0,7,1,False,15,https://github.com/micromark/micromark-extension-gfm-task-list-item
mdast-util-gfm-task-list-item,150683405,2023-07-10,20,53375,2,0,6,2,False,11,https://github.com/syntax-tree/mdast-util-gfm-task-list-item
micromark-extension-gfm-strikethrough,150492988,2024-07-05,36,53804,1,0,3,0,False,21,https://github.com/micromark/micromark-extension-gfm-strikethrough
@babel/plugin-proposal-private-property-in-object,150326315,2023-06-05,1456,1660697,4,0,11,5,False,26,https://github.com/babel/babel-plugin-proposal-private-property-in-object
hoist-non-react-statics,150059805,2020-01-22,3585,1377622,1,0,1800,28,False,33,https://github.com/mridgway/hoist-non-react-statics
lower-case,150042225,2023-09-30,462,2498991,1,0,2405,17,False,14,https://github.com/blakeembrey/change-case
v8-compile-cache-lib,150022552,2022-04-16,351,191646,1,0,12,3,False,2,https://github.com/cspotcode/v8-compile-cache-lib
@types/tough-cookie,149416064,2023-11-07,595,111207,1,0,51432,691,False,18,https://github.com/DefinitelyTyped/DefinitelyTyped
micromark-extension-gfm-footnote,148766981,2024-07-05,21,41868,1,0,11,0,False,10,https://github.com/micromark/micromark-extension-gfm-footnote
no-case,148560098,2023-09-30,435,2491087,1,1,2405,17,False,12,https://github.com/blakeembrey/change-case
read-pkg-up,148534000,2023-11-03,2887,4757,1,0,267,0,False,14,https://github.com/sindresorhus/read-pkg-up
is-generator-fn,147947550,2021-08-11,836,1984793,1,0,24,0,False,4,https://github.com/sindresorhus/is-generator-fn
parse-ms,147903947,2024-01-07,180,149039,1,0,122,0,False,9,https://github.com/sindresorhus/parse-ms
mdast-util-gfm-autolink-literal,147234762,2024-08-19,27,53699,2,0,16,3,False,10,https://github.com/syntax-tree/mdast-util-gfm-autolink-literal
@types/eslint,147164242,2024-08-26,5603,1741976,1,0,51432,691,False,87,https://github.com/DefinitelyTyped/DefinitelyTyped
ret,147148404,2023-03-16,930,3789143,1,0,98,7,False,27,https://github.com/fent/ret.js
url-parse,147030946,2022-02-22,2573,2588673,4,8,1034,16,False,51,https://github.com/unshiftio/url-parse
didyoumean,146996387,2021-06-24,440,1087639,1,0,184,2,False,4,https://github.com/dcporter/didyoumean.js
lodash.memoize,146915045,2016-08-13,1176,2831604,2,0,61277,104,False,21,https://github.com/lodash/lodash
reflect-metadata,146376157,2024-03-29,21618,886822,1,0,3361,29,False,20,https://github.com/rbuckton/reflect-metadata
querystringify,146128409,2020-08-17,469,2603839,4,1,175,0,False,10,https://github.com/unshiftio/querystringify
mdast-util-mdx-expression,146034977,2024-09-13,20,35013,2,0,5,0,False,12,https://github.com/syntax-tree/mdast-util-mdx-expression
mdast-util-mdxjs-esm,145668275,2023-08-08,53,27883,2,0,7,0,False,11,https://github.com/syntax-tree/mdast-util-mdxjs-esm
@babel/plugin-syntax-class-static-block,143721694,2021-06-09,16,1658694,4,0,43990,780,False,4,https://github.com/babel/babel
@types/estree-jsx,143494919,2024-02-23,68,31670,1,0,51376,675,False,9,https://github.com/DefinitelyTyped/DefinitelyTyped
@js-sdsl/ordered-map,143470324,2023-07-21,1,0,2,0,800,19,False,8,https://github.com/js-sdsl/js-sdsl
mdast-util-gfm-strikethrough,143425206,2023-07-10,36,53792,2,0,5,1,False,10,https://github.com/syntax-tree/mdast-util-gfm-strikethrough
aggregate-error,142713407,2023-09-14,1297,1838394,1,0,247,2,False,11,https://github.com/sindresorhus/aggregate-error
@aws-crypto/sha256-browser,142686384,2023-10-16,1605,71363,2,0,69,33,False,20,https://github.com/aws/aws-sdk-js-crypto-helpers
@emotion/memoize,142538443,2024-07-19,49,774299,2,0,18020,393,False,19,https://github.com/emotion-js/emotion
typedarray,141767523,2022-10-12,895,830363,1,0,2,0,False,8,https://github.com/es-shims/typedarray
@swc/counter,141538164,2024-02-05,3,15828,1,0,59,9,False,4,https://github.com/swc-project/pkgs
pluralize,141522317,2019-05-25,4718,902979,1,0,2213,59,False,34,https://github.com/blakeembrey/pluralize
memoize-one,140323031,2021-10-20,2462,324484,1,0,2967,17,False,35,https://github.com/alexreardon/memoize-one
environment,140317505,2024-05-14,3,19,1,0,167,0,False,4,https://github.com/sindresorhus/environment
fs-minipass,139857855,2023-08-14,452,3246496,1,0,20,3,False,19,https://github.com/npm/fs-minipass
postgres-interval,138761742,2024-01-29,32,221734,1,0,38,0,False,14,https://github.com/bendrucker/postgres-interval
duplexify,137479121,2024-03-06,950,753415,1,0,191,12,False,40,https://github.com/mafintosh/duplexify
@humanwhocodes/config-array,137135951,2024-04-17,13,1468908,1,0,31,17,True,44,https://github.com/humanwhocodes/config-array
acorn-import-attributes,137002400,2024-03-29,15,0,1,0,22,4,False,6,https://github.com/xtuc/acorn-import-attributes
string-argv,136845332,2023-05-01,389,250580,2,0,63,4,False,10,https://github.com/mccormicka/string-argv
@types/resolve,136195657,2023-11-21,918,1339219,1,0,51421,683,False,19,https://github.com/DefinitelyTyped/DefinitelyTyped
@polka/url,136164555,2018-09-18,29,157279,1,0,5591,32,False,20,https://github.com/lukeed/polka
tweetnacl,135951997,2020-02-10,2661,923630,1,0,1923,7,False,25,https://github.com/dchest/tweetnacl-js
remark-stringify,134839210,2023-09-18,840,244882,3,0,8996,11,False,34,https://github.com/remarkjs/remark
@sindresorhus/merge-streams,134832152,2024-05-04,1,858,1,0,64,0,False,11,https://github.com/sindresorhus/merge-streams
micromark-extension-gfm-tagfilter,134474238,2023-06-23,12,53680,1,0,3,0,False,7,https://github.com/micromark/micromark-extension-gfm-tagfilter
micromark-extension-gfm,134240084,2023-06-26,61,53380,1,0,40,0,False,12,https://github.com/micromark/micromark-extension-gfm
big-integer,134035086,2023-11-21,1605,491934,1,0,1126,17,False,102,https://github.com/peterolson/BigInteger.js
@types/graceful-fs,133280569,2023-11-07,323,1747353,1,0,51432,691,False,23,https://github.com/DefinitelyTyped/DefinitelyTyped
@humanwhocodes/object-schema,133138014,2024-04-01,4,1469092,1,0,33,1,True,11,https://github.com/humanwhocodes/object-schema
p-finally,133005674,2021-04-09,1036,782912,1,0,47,0,True,4,https://github.com/sindresorhus/p-finally
is-windows,130975290,2018-02-14,1432,1041662,2,0,49,3,True,6,https://github.com/jonschlinkert/is-windows
fsevents,130657684,2023-08-21,5083,5289351,2,1,569,19,False,67,https://github.com/fsevents/fsevents
enquirer,130398529,2023-07-28,3808,727459,2,0,7951,207,False,37,https://github.com/enquirer/enquirer
lodash.uniq,130133203,2016-08-13,1679,2728170,2,0,58818,71,False,22,https://github.com/lodash/lodash
recharts-scale,129341838,2021-03-25,62,23656,2,0,4,7,False,24,https://github.com/recharts/recharts-scale
denque,128949544,2022-07-18,234,615261,1,0,373,15,True,24,https://github.com/invertase/denque
randombytes,128834743,2019-02-19,2276,1888601,5,0,102,8,False,9,https://github.com/crypto-browserify/randombytes
astral-regex,127814162,2019-04-05,1073,2279822,1,0,34,0,False,2,https://github.com/kevva/astral-regex
promise,127668894,2022-10-25,7398,2496111,2,0,2587,24,False,33,https://github.com/then/promise
dot-case,127319956,2023-09-30,227,1253468,1,0,2405,17,False,17,https://github.com/blakeembrey/change-case
d3-selection,127289552,2021-06-07,1623,72750,2,0,572,16,False,58,https://github.com/d3/d3-selection
invariant,126869095,2018-03-13,5321,2745293,3,0,1230,18,False,13,https://github.com/zertosh/invariant
lazystream,126612122,2021-10-23,107,450823,1,0,51,5,False,5,https://github.com/jpommerening/node-lazystream
is-typedarray,126586516,2015-05-17,1205,5513,1,0,22,7,False,2,https://github.com/hughsk/is-typedarray
totalist,126327269,2023-04-03,100,160599,1,0,150,2,False,7,https://github.com/lukeed/totalist
globrex,125979543,2018-12-16,202,127863,1,0,76,3,False,7,https://github.com/terkelg/globrex
cli-boxes,125736660,2024-08-04,558,1202957,1,0,110,1,False,8,https://github.com/sindresorhus/cli-boxes
@ampproject/remapping,124939725,2024-03-01,145,1514643,2,0,136,1,True,19,https://github.com/ampproject/remapping
p-cancelable,124613797,2022-07-19,659,1122037,1,0,451,0,False,15,https://github.com/sindresorhus/p-cancelable
classnames,124476008,2023-12-29,35031,1044974,2,0,17778,12,False,30,https://github.com/JedWatson/classnames
@emotion/unitless,123550109,2024-08-21,81,742916,2,0,18020,393,False,19,https://github.com/emotion-js/emotion
json-schema-to-ts,123342464,2024-08-29,164,3368,1,0,1781,32,False,80,https://github.com/ThomasAribart/json-schema-to-ts
on-exit-leak-free,122881947,2023-10-03,25,19551,1,0,145,5,False,7,https://github.com/mcollina/on-exit-or-gc
d3-dispatch,122744441,2021-06-05,207,79274,2,0,76,4,False,29,https://github.com/d3/d3-dispatch
fd-slicer,122499031,2018-06-03,212,743324,2,0,30,5,False,12,https://github.com/andrewrk/node-fd-slicer
unenv,122224078,2024-07-16,61,6760,1,0,768,37,False,83,https://github.com/unjs/unenv
csso,121940013,2022-08-10,982,2739126,3,0,3787,103,False,82,https://github.com/css/csso
performance-now,121907599,2017-02-19,1187,4469,1,0,0,2,False,11,https://github.com/braveg1rl/performance-now
stream-shift,121506199,2024-01-17,370,593454,1,0,22,1,False,4,https://github.com/mafintosh/stream-shift
asn1,121362732,2021-11-04,742,325120,10,0,63,20,False,18,https://github.com/joyent/node-asn1
cli-table3,121292008,2024-05-12,1709,497518,2,0,635,27,False,9,https://github.com/cli-table/cli-table3
d3-transition,121032968,2021-06-09,603,68594,2,0,226,12,False,48,https://github.com/d3/d3-transition
interpret,120975646,2022-06-29,1406,1629520,3,0,262,5,False,42,https://github.com/gulpjs/interpret
deep-equal,120421348,2023-11-09,3909,2827902,1,0,778,4,False,22,https://github.com/inspect-js/node-deep-equal
