repo,otsikko,url,luotu,kommentteja,reaktioita,kirjoittajan_rooli
keratin/authn-server,Seeking Additional Maintainer,https://github.com/keratin/authn-server/issues/196,2022-04-01,4,11,MEMBER
memononen/nanovg,Looking for NanoVG maintainers,https://github.com/memononen/nanovg/issues/502,2018-08-08,8,11,OWNER
joefitzgerald/go-plus,Looking for new maintainer(s),https://github.com/joefitzgerald/go-plus/issues/911,2019-06-12,7,11,OWNER
Diaoul/subliminal,Subliminal is looking for maintainers!,https://github.com/Diaoul/subliminal/issues/1064,2024-01-08,15,10,OWNER
icloud-photos-downloader/icloud_photos_downloader,Looking for new MAINTAINER for the project,https://github.com/icloud-photos-downloader/icloud_photos_downloader/issues/1305,2026-01-06,20,10,COLLABORATOR
winfsp/sshfs-win,Looking for co-maintainer,https://github.com/winfsp/sshfs-win/issues/347,2022-04-26,1,10,COLLABORATOR
bakcxoj/bevy_wasm,Looking for new maintainer,https://github.com/bakcxoj/bevy_wasm/issues/21,2024-09-07,0,9,OWNER
kevboh/longform,Looking for a new maintainer,https://github.com/kevboh/longform/issues/327,2026-02-24,10,10,OWNER
getsentry/sentry-kubernetes,Support status: looking for community maintainers,https://github.com/getsentry/sentry-kubernetes/issues/42,2020-08-17,4,10,CONTRIBUTOR
LibVNC/x11vnc,❗Looking for a new maintainer 👀,https://github.com/LibVNC/x11vnc/issues/186,2022-01-31,32,10,MEMBER
gocolly/colly,Looking for maintainers,https://github.com/gocolly/colly/issues/840,2025-03-19,14,9,MEMBER
phenax/bsp-layout,Looking for maintainers,https://github.com/phenax/bsp-layout/issues/27,2021-04-10,9,9,OWNER
joshwcomeau/react-flip-move,Looking for maintainers,https://github.com/joshwcomeau/react-flip-move/issues/233,2018-08-18,9,9,OWNER
kbknapp/cargo-count,Looking for maintainers?,https://github.com/kbknapp/cargo-count/issues/48,2021-06-14,0,9,NONE
bastion-rs/bastion,Bastion is looking for maintainers!,https://github.com/bastion-rs/bastion/issues/32,2019-09-29,2,9,MEMBER
bgub/squirrelly,New Lead Maintainer Wanted,https://github.com/bgub/squirrelly/issues/210,2020-10-15,5,9,OWNER
tinyauthapp/tinyauth,Tinyauth is looking for more maintainers,https://github.com/tinyauthapp/tinyauth/issues/755,2026-04-02,5,9,MEMBER
nix-darwin/nix-darwin,Looking for additional maintainers,https://github.com/nix-darwin/nix-darwin/issues/358,2021-09-08,31,9,MEMBER
gammu/gammu,Gammu is looking for new maintainer,https://github.com/gammu/gammu/issues/475,2019-05-29,5,9,MEMBER
SimonHoiberg/direflow,Direflow is looking for awesome maintainers 🚀,https://github.com/SimonHoiberg/direflow/issues/221,2021-04-10,0,9,OWNER
inputsh/awesome-c,Looking for new maintainers,https://github.com/inputsh/awesome-c/issues/26,2017-04-03,12,8,OWNER
olahol/iso-3166-2.js,Looking for a maintainer?,https://github.com/olahol/iso-3166-2.js/issues/33,2021-01-22,2,8,NONE
mrandri19/rust-editorconfig,Looking for new maintainer?,https://github.com/mrandri19/rust-editorconfig/issues/13,2021-03-09,0,8,NONE
senviocom/react-textarea-autocomplete,👋 Beware – not actively maintained. Looking for maintainer and leader of complete rewrite.,https://github.com/senviocom/react-textarea-autocomplete/issues/226,2021-10-13,1,8,COLLABORATOR
Gert-dev/php-ide-serenata,Looking for a new maintainer,https://github.com/Gert-dev/php-ide-serenata/issues/522,2021-08-03,1,8,OWNER
zaru/webpush,Looking for a new maintainer?,https://github.com/zaru/webpush/issues/107,2022-06-01,6,8,CONTRIBUTOR
stachenov/quazip,New maintainer wanted,https://github.com/stachenov/quazip/issues/185,2024-02-22,28,7,OWNER
react-page/react-page,looking for maintainers,https://github.com/react-page/react-page/issues/1329,2024-11-05,22,7,COLLABORATOR
yjose/reactjs-popup,⚠️  Looking for maintainers for reactjs-popup library,https://github.com/yjose/reactjs-popup/issues/332,2023-01-20,30,7,OWNER
chrisvfritz/prerender-spa-plugin,Looking for maintainers!,https://github.com/chrisvfritz/prerender-spa-plugin/issues/477,2021-12-14,15,7,COLLABORATOR
Wisembly/elephant.io,Looking for maintainer(s),https://github.com/Wisembly/elephant.io/issues/135,2016-04-06,20,7,CONTRIBUTOR
