nimi,lataukset_kk,viimeinen_julkaisu_pypi,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
aioredis,1626639,2021-12-27,237,6123,3,0,2282,95,True,34,https://github.com/aio-libs/aioredis-py
log-symbols,1624537,2019-08-08,13,1145,1,0,43,5,False,9,https://github.com/manrajgrover/py-log-symbols
azure-mgmt-logic,1622459,2022-11-04,7,395,3,0,5591,1130,False,16,https://github.com/Azure/azure-sdk-for-python
requests-sigv4,1620022,2022-06-24,1,1,2,0,7,3,False,3,https://github.com/cleardataeng/requests-sigv4
unpaddedbase64,1618874,2021-03-09,13,139,6,0,11,0,False,5,https://github.com/matrix-org/python-unpaddedbase64
markdowntable,1618757,2022-03-18,0,1,1,0,4,0,True,31,https://github.com/PokestarFan/Python-Markdown-Table
azure,1612966,2020-04-08,15,838,3,0,5597,1117,False,38,https://github.com/Azure/azure-sdk-for-python
ndjson,1610193,2020-02-25,45,209,1,0,68,4,False,4,https://github.com/rhgrant10/ndjson
pyvis,1606479,2023-02-24,140,696,2,0,970,160,False,22,https://github.com/WestHealth/pyvis
polling,1605277,2021-05-22,29,138,1,0,141,6,False,5,https://github.com/justiniso/polling
aiosmtpd,1603854,2024-05-18,24,310,5,2,305,72,False,26,https://github.com/aio-libs/aiosmtpd
google-search-results,1599815,2023-03-10,113,2025,3,0,755,20,False,41,https://github.com/serpapi/google-search-results-python
raven,1588067,2018-12-19,84,8987,1,0,1662,241,True,187,https://github.com/getsentry/raven-python
pygdbmi,1584736,2023-01-29,14,238,2,0,249,22,False,29,https://github.com/cs01/pygdbmi
flake8-docstrings,1582369,2023-01-25,603,9407,1,0,161,3,False,27,https://github.com/pycqa/flake8-docstrings
jcs,1574983,2022-04-10,6,15,1,0,5,1,False,3,https://github.com/titusz/jcs
opentelemetry-resourcedetector-process,1572497,2022-09-18,2,1,1,0,0,1,False,5,https://github.com/chrisguidry/opentelemetry-resourcedetector-process
wurlitzer,1568511,2024-06-12,35,2182,1,0,223,10,False,19,https://github.com/minrk/wurlitzer
setuptools-download,1567454,2024-07-07,0,0,1,0,8,0,False,3,https://github.com/asottile/setuptools-download
python-consul,1565696,2018-07-09,39,570,3,0,464,90,True,40,https://github.com/cablehead/python-consul
selinux,1559409,2022-12-24,5,937,4,0,19,8,False,14,https://github.com/pycontribs/selinux
locate,1556735,2022-12-15,3,10,3,0,3,1,False,4,https://github.com/AutoActuary/locate
atlasclient,1555673,2019-08-19,4,79,1,0,18,15,False,10,https://github.com/jpoullet2000/atlasclient
mercantile,1551158,2021-04-21,38,397,3,0,453,12,False,37,https://github.com/mapbox/mercantile
django-rest-polymorphic,1550531,2022-07-17,3,144,1,0,183,22,False,11,https://github.com/denisorehovsky/django-rest-polymorphic
sagemaker-schema-inference-artifacts,1548465,2024-04-08,1,0,1,0,1,0,False,5,https://github.com/aws/sagemaker-schema-inference-artifacts
pytest-flakefinder,1544302,2022-10-26,8,372,2,0,158,3,False,6,https://github.com/dropbox/pytest-flakefinder
tentaclio-s3,1539848,2022-12-30,1,2,2,0,,,,3,
pytest-shard,1539582,2020-12-11,8,397,1,0,35,4,False,3,https://github.com/AdamGleave/pytest-shard
brotlipy,1533456,2021-09-02,62,6521,2,0,147,13,False,14,https://github.com/python-hyper/brotlipy
types-cryptography,1529474,2022-11-08,29,1091,1,0,5118,372,False,29,https://github.com/python/typeshed
backports.functools-lru-cache,1519712,2023-12-13,72,8965,1,0,37,0,False,18,https://github.com/jaraco/backports.functools_lru_cache
opentelemetry-container-distro,1517254,2022-09-18,1,1,1,0,0,0,False,6,https://github.com/chrisguidry/opentelemetry-container-distro
ddt,1516372,2024-02-26,81,2598,2,0,442,17,False,34,https://github.com/datadriventests/ddt
confusable-homoglyphs,1514481,2024-01-30,3,0,1,0,166,3,True,12,https://github.com/vhf/confusable_homoglyphs
pytest-freezegun,1511178,2020-07-19,36,782,1,0,195,10,False,6,https://github.com/ktosiek/pytest-freezegun
flask-mail,1500209,2024-05-23,36,2000,1,0,642,26,False,29,https://github.com/pallets-eco/flask-mail
azure-loganalytics,1498107,2021-11-12,6,325,3,0,5597,1117,False,2,https://github.com/Azure/azure-sdk-for-python
kylinpy,1496512,2020-08-11,8,14,1,0,62,9,False,45,https://github.com/Kyligence/kylinpy
ruyaml,1492014,2021-12-07,16,71,3,0,79,37,False,9,https://github.com/pycontribs/ruyaml
ocspbuilder,1480803,2016-07-29,0,9,1,0,33,8,False,4,https://github.com/wbond/ocspbuilder
sqlalchemy2-stubs,1475251,2023-12-30,27,1387,2,0,156,40,False,49,https://github.com/sqlalchemy/sqlalchemy2-stubs
azure-servicefabric,1464275,2021-12-14,5,295,3,0,5597,1117,False,17,https://github.com/Azure/azure-sdk-for-python
flask-openid,1451992,2024-05-26,7,485,5,0,235,5,False,14,https://github.com/mitsuhiko/flask-openid
nothing,1449565,2015-12-25,4,10,1,0,9,0,False,3,https://github.com/Carreau/nothing
linecache2,1446425,2015-03-06,3,1928,1,0,1,7,True,2,https://github.com/testing-cabal/linecache2
htmldocx,1443682,2021-08-25,6,34,1,0,89,52,False,6,https://github.com/pqzx/html2docx
spython,1443152,2024-09-15,24,77,1,0,67,1,False,85,https://github.com/singularityhub/singularity-cli
naked,1439068,2022-11-06,3,88,1,0,120,3,False,21,https://github.com/chrissimpkins/naked
ruamel.yaml.jinja2,1430405,2021-09-23,4,43,1,0,,,,11,
itypes,1428967,2020-04-19,5,26233,2,0,19,0,True,3,https://github.com/PavanTatikonda/itypes
dotmap,1426378,2022-04-06,74,615,1,0,481,13,False,91,https://github.com/drgrib/dotmap
interrogate,1423310,2024-04-07,177,1582,1,0,673,42,False,16,https://github.com/econchick/interrogate
pystoi,1420823,2023-12-29,14,200,1,0,362,6,False,11,https://github.com/mpariente/pystoi
pykakasi,1418470,2024-06-24,18,123,1,0,0,0,False,50,https://codeberg.org/miurahr/pykakasi
astral,1416332,2022-11-05,33,1302,1,0,288,60,False,45,https://github.com/sffjunkie/astral
nvidia-nvtx-cu11,1416141,2024-08-16,43,1613,1,0,,,,3,
torchsde,1414637,2023-09-26,18,1277,2,0,1726,34,True,2,https://github.com/google-research/torchsde
pykerberos,1413147,2022-03-09,21,536,3,1,23,7,False,17,https://github.com/02strich/pykerberos
typish,1412764,2021-08-05,5,248,1,0,25,3,False,18,https://github.com/ramonhagenaars/typish
sklearn,1411598,2023-12-01,1089,52941,3,0,,,,10,
bump2version,1409055,2020-10-07,817,5686,2,0,1025,117,False,10,https://github.com/c4urself/bump2version
flpc,1408187,2024-07-09,0,0,1,0,139,9,True,10,https://github.com/itsmeadarsh2008/flpc
shellescape,1405771,2020-01-25,21,1333,1,0,16,0,False,3,https://github.com/chrissimpkins/shellescape
alphashape,1404468,2021-04-16,16,58,1,0,314,30,False,18,https://github.com/bellockk/alphashape
pem,1396469,2023-06-21,26,226,1,0,171,1,False,16,https://github.com/hynek/pem
ipy,1391112,2020-12-01,14,97,1,0,559,16,False,11,https://github.com/autocracy/python-ipy
sphinxcontrib-websupport,1389114,2024-07-29,73,10661,1,0,11,12,False,14,https://github.com/sphinx-doc/sphinxcontrib-websupport
django-admin-list-filter-dropdown,1384901,2019-10-14,3,178,1,0,319,5,False,4,https://github.com/mrts/django-admin-list-filter-dropdown
measurement,1380757,2023-01-10,8,373,3,0,116,20,False,32,https://github.com/coddingtonbear/python-measurement
s3cmd,1374552,2023-12-12,3,346,4,0,,,,19,
sqlitedict,1373886,2022-12-03,76,1356,2,1,1245,38,False,21,https://github.com/piskvorky/sqlitedict
nvidia-cusolver-cu11,1372494,2024-08-17,56,1620,1,0,,,,3,
hologram,1367301,2023-03-24,4,430,1,0,10,11,False,16,https://github.com/fishtown-analytics/hologram
geckodriver-autoinstaller,1364793,2020-02-14,9,75,1,0,22,7,True,4,https://github.com/yeongbin-jo/python-geckodriver-autoinstaller
geonames,1364734,2015-07-29,0,9,1,0,8,1,False,4,https://github.com/DenisCarriere/geonames
pep8,1359501,2017-10-24,113,26315,5,0,5165,105,False,37,https://github.com/PyCQA/pep8
kerberos,1358661,2021-01-09,15,140,4,1,119,26,True,9,https://github.com/apple/ccs-pykerberos
dpkt,1358315,2022-08-18,24,372,4,0,1162,97,False,21,https://github.com/kbandla/dpkt
azure-mgmt-devspaces,1355983,2023-08-22,5,240,3,0,5597,1117,False,5,https://github.com/Azure/azure-sdk-for-python
jupyter-kernel-gateway,1350844,2024-03-12,8,90,10,0,554,25,False,32,https://github.com/jupyter-incubator/kernel_gateway
svgelements,1349620,2023-08-17,10,47,2,0,169,41,False,68,https://github.com/meerk40t/svgelements
dataclasses-json-speakeasy,1349234,2024-02-01,53,6,1,0,1381,145,False,5,https://github.com/lidatong/dataclasses-json
http-ece,1342085,2024-08-08,9,303,1,0,33,7,False,25,https://github.com/martinthomson/encrypted-content-encoding
hsluv,1341837,2023-09-11,7,93,2,0,143,0,False,7,https://github.com/hsluv/hsluv-python
azure-applicationinsights,1341496,2022-02-11,6,246,3,0,3955,1237,False,2,https://github.com/Azure/azure-sdk-for-python
pretty-html-table,1337534,2022-04-25,9,37,1,0,127,16,False,22,https://github.com/sbi-rviot/ph_table
gprofiler-official,1337251,2019-04-02,10,19,2,0,,,,10,
pip-hello-world,1334385,2017-03-23,0,1,1,0,,,,1,
sparqlwrapper,1332815,2022-03-13,46,345,3,0,568,54,False,30,https://github.com/RDFLib/sparqlwrapper
lzfse,1323808,2024-04-19,1,0,1,0,0,0,False,1,https://github.com/m1stadev/lzfse
tensorflow-hub,1323367,2024-01-30,74,4270,4,0,3527,5,False,20,https://github.com/tensorflow/hub
twirp,1321128,2022-04-24,3,10,1,0,7528,15,False,9,https://github.com/twitchtv/twirp
clamd,1318506,2014-08-21,7,79,1,0,93,13,False,8,https://github.com/graingert/python-clamd
seeuletter,1313142,2022-01-25,0,1,2,0,,,,4,
cuid,1310930,2023-03-06,9,27,2,0,63,2,False,3,https://github.com/necaris/cuid.py
zipfile36,1307925,2016-10-16,14,196,1,0,0,0,False,4,https://gitlab.com/takluyver/zipfile36
py-order-utils,1301139,2024-07-29,1,1,2,0,58,5,False,28,https://github.com/polymarket/python-order-utils
cowsay,1299416,2023-09-25,23,136,1,0,175,7,False,6,https://github.com/VaasuDevanS/cowsay-python
virtualenv-clone,1293509,2021-09-07,11,13517,2,0,224,25,False,18,https://github.com/edwardgeorge/virtualenv-clone
zipfile-zstd,1292870,2021-12-08,0,1,1,0,2,0,False,4,https://github.com/taisei-project/python-zipfile-zstd
django-libsass,1291434,2021-07-08,21,908,1,0,273,6,False,9,https://github.com/torchbox/django-libsass
dash-table,1290810,2022-03-02,41,6832,4,0,421,232,True,45,https://github.com/plotly/dash-table
pgeocode,1289378,2024-04-13,10,151,1,0,270,21,False,9,https://github.com/symerio/pgeocode
poly-eip712-structs,1285710,2024-07-18,0,0,1,0,5,0,False,1,https://github.com/Polymarket/poly-py-eip712-structs
businesstimedelta,1281644,2019-09-07,1,8,1,0,38,6,False,3,https://github.com/seppemans/businesstimedelta
pyxdg,1280655,2022-06-05,103,10133,2,2,,,,10,
treys,1278238,2022-06-21,0,26,1,0,166,13,False,7,https://github.com/ihendley/treys
gpustat,1276767,2023-08-22,31,1013,1,0,4392,30,False,14,https://github.com/wookayin/gpustat
textwrap3,1274087,2019-01-23,18,718,1,0,5,1,False,3,https://github.com/jonathaneunice/textwrap3
azure-mgmt-powerbiembedded,1273054,2024-06-24,5,277,3,0,5597,1117,False,5,https://github.com/Azure/azure-sdk-for-python
python3-xlib,1270306,2014-05-31,8,471,1,0,,,,2,https://github.com/LiuLang/python3-xlib
async-stripe,1265838,2023-11-18,0,3,2,0,37,4,False,47,https://github.com/bhch/async-stripe
python-memcached,1265112,2024-01-14,58,10807,1,0,457,39,False,23,https://github.com/linsomniac/python-memcached
fredapi,1264958,2024-05-05,14,102,1,0,1655,36,False,16,https://github.com/mortada/fredapi
django-fernet-fields-v2,1258607,2023-08-15,4,3,1,0,4,0,False,3,https://github.com/MichelML/django-fernet-fields
azure-mgmt,1258374,2020-04-08,6,410,3,0,5597,1117,False,17,https://github.com/Azure/azure-sdk-for-python
databases,1255930,2024-03-01,50,3621,1,0,3993,131,True,43,https://github.com/encode/databases
uszipcode,1244150,2022-01-06,5,139,1,0,250,30,False,16,https://github.com/MacHu-GWU/uszipcode-project
miscreant,1243774,2017-12-25,1,5,1,0,474,16,True,4,https://github.com/miscreant/miscreant
pybytebuffer,1242626,2020-12-28,1,1,1,0,8,1,False,5,https://github.com/iGio90/PyByteBuffer
jsmin,1242399,2022-01-16,54,4115,2,0,92,11,False,24,https://github.com/tikitu/jsmin
crcengine,1241757,2023-04-16,1,3,1,0,9,4,False,11,https://github.com/GardenTools/crcengine
workalendar,1241363,2023-01-01,16,127,2,0,951,123,False,94,https://github.com/workalendar/workalendar
parsley,1237761,2015-09-09,11,115,3,0,,,,4,
traceback2,1237105,2015-03-09,8,1552,1,0,5,4,True,7,https://github.com/testing-cabal/traceback2
jsoncomparison,1236273,2021-05-17,4,57,1,0,67,7,False,4,https://github.com/rugleb/JsonCompare
recordlinkage,1235412,2023-07-20,6,59,1,0,1062,64,False,23,https://github.com/J535D165/recordlinkage
asyncache,1235026,2022-11-15,22,71,1,0,2126,12,False,5,
paypalrestsdk,1230125,2023-11-01,14,339,1,0,706,25,True,49,https://github.com/paypal/PayPal-Python-SDK
confluent-kafka-stubs,1229352,2023-06-12,1,0,1,0,0,1,False,3,https://gitlab.com/theepic-dev/confluent-kafka-stubs
types-chardet,1226311,2023-05-10,16,1368,1,0,5120,341,False,22,https://github.com/python/typeshed
pypiwin32,1222723,2018-02-26,163,3804,4,0,,,,3,
blingfire,1221080,2021-09-24,10,21,3,0,1858,48,False,19,https://github.com/microsoft/blingfire
jaro-winkler,1219562,2022-08-05,1,26,1,0,32,1,False,4,https://github.com/richmilne/JaroWinkler
pybacklogpy,1216682,2021-09-18,0,2,1,0,33,11,True,5,https://github.com/kitadakyou/PyBacklogPy
requests-oauth,1210502,2012-06-21,0,82,1,0,187,18,False,6,https://github.com/maraujop/requests-oauth
psycogreen,1210293,2020-02-22,7,747,2,0,108,1,False,4,https://github.com/psycopg/psycogreen
types-flask,1203591,2021-11-26,13,87,1,0,5118,372,False,10,https://github.com/python/typeshed
linkedin-api-client,1203027,2023-06-29,1,0,2,0,215,24,False,3,https://github.com/linkedin-developers/linkedin-api-python-client
pytoolconfig,1201516,2024-01-11,7,658,1,0,5,10,False,14,https://github.com/bageljrkhanofemus/pytoolconfig
pytest-flask,1198891,2023-10-23,58,2151,2,0,476,13,False,30,https://github.com/pytest-dev/pytest-flask
contextvars,1197307,2019-04-01,116,2294,2,0,90,6,False,6,https://github.com/MagicStack/contextvars
jsonpath-rw-ext,1194130,2019-07-12,10,100,3,0,59,12,False,17,https://github.com/sileht/python-jsonpath-rw-ext
dash-core-components,1186889,2022-03-02,54,8232,4,1,294,54,False,214,
unittest2,1182563,2015-06-30,93,11302,2,0,,,,22,
paypalhttp,1179141,2021-09-14,6,69,1,0,,,,2,
atomicwrites-homeassistant,1172646,2022-07-08,6,261,1,0,321,5,True,1,https://github.com/untitaker/python-atomicwrites
fiddle,1171569,2024-04-09,1,5,1,0,386,91,False,13,https://github.com/google/fiddle
htmlmin2,1168807,2023-03-14,3,70,1,0,132,22,False,1,https://github.com/mankyd/htmlmin
dash-html-components,1168739,2022-03-02,55,8235,4,1,153,18,True,71,https://github.com/plotly/dash-html-components
httmock,1164780,2020-10-28,14,1063,1,0,472,15,False,19,https://github.com/patrys/httmock
sqlalchemy-mate,1162369,2024-06-06,1,7,1,0,2,0,False,19,https://github.com/MacHu-GWU/sqlalchemy_mate-project
zipfile-deflate64,1160412,2022-01-05,7,33,1,0,21,18,False,8,https://github.com/brianhelba/zipfile-deflate64
databricks-pypi1,1159782,2018-11-13,0,1,1,0,,,,2,
django-querycount,1157148,2023-01-05,2,167,2,0,399,13,False,12,https://github.com/bradmontgomery/django-querycount
jupyter-server-fileid,1157147,2024-09-06,8,515,3,0,3,17,False,15,https://github.com/jupyter-server/jupyter_server_fileid
grapheme,1154125,2020-03-07,18,378,1,0,114,12,False,7,https://github.com/alvinlindstam/grapheme
natto-py,1153488,2022-09-07,4,42,1,0,94,6,False,23,https://github.com/buruzaemon/natto-py
emcee,1149013,2024-04-19,161,538,1,0,1597,72,False,27,https://github.com/dfm/emcee
pysher,1146323,2022-10-10,4,669,1,0,65,19,False,21,https://github.com/deepbrook/Pysher
j2cli,1145721,2019-07-19,3,112,1,0,748,37,True,15,https://github.com/kolypto/j2cli
yarg,1142699,2024-08-09,37,2967,1,0,23,2,False,10,https://github.com/kura/yarg
pyro-api,1133576,2020-05-15,9,208,1,0,15,3,False,3,https://github.com/pyro-ppl/pyro-api
django-choices,1127871,2023-07-24,10,240,2,0,175,0,False,26,https://github.com/bigjason/django-choices
py-moneyed,1127741,2022-11-27,16,530,3,0,474,17,False,12,https://github.com/py-moneyed/py-moneyed
mdx-truly-sane-lists,1125650,2022-07-19,25,394,1,0,101,10,False,4,https://github.com/radude/mdx_truly_sane_lists
memoization,1125255,2021-08-01,42,350,1,0,241,14,False,10,https://github.com/lonelyenvoy/python-memoization
glob2,1123967,2019-06-10,79,11591,1,0,125,9,False,7,https://github.com/miracle2k/python-glob2
mysql-connector,1122886,2019-04-01,109,3626,1,0,,,,2,
y-py,1122669,2023-10-06,25,951,4,0,212,34,True,21,https://github.com/y-crdt/ypy
flake8-print,1121351,2022-04-30,180,2049,1,0,121,4,False,20,https://github.com/jbkahn/flake8-print
ansiwrap,1118365,2019-01-23,11,645,1,0,22,10,False,14,https://github.com/jonathaneunice/ansiwrap
eventkit,1117903,2023-12-11,3,48,1,0,148,3,True,13,https://github.com/erdewit/eventkit
recommonmark,1117428,2020-12-17,610,10035,2,0,341,0,True,11,https://github.com/rtfd/recommonmark
tableau-api-lib,1117322,2022-10-15,2,5,1,0,101,20,False,138,https://github.com/divinorum-webb/tableau-api-lib
cron-validator,1117058,2023-06-19,4,15,1,0,23,4,False,9,https://github.com/vcoder4c/cron-validator
jsonalias,1116494,2022-10-30,7,3,1,0,20,1,False,3,https://github.com/kevinheavey/jsonalias
pyinotify,1116424,2015-06-04,37,3462,1,0,2304,84,False,7,https://github.com/seb-m/pyinotify
jsonmerge,1115820,2023-07-19,33,1741,1,0,233,13,False,16,https://github.com/avian2/jsonmerge
rouge,1115048,2021-07-20,26,507,1,0,720,15,False,10,https://github.com/pltrdy/rouge
httpretty,1114449,2021-08-16,95,2960,1,0,2156,130,False,59,https://github.com/gabrielfalcao/httpretty
click-help-colors,1110697,2023-11-18,62,962,1,0,92,5,False,13,https://github.com/click-contrib/click-help-colors
vasprun-xml,1110001,2022-02-14,0,2,1,0,33,5,False,5,https://github.com/qzhu2017/vasprun
django-adminplus,1106788,2023-12-05,0,109,1,0,590,12,False,14,https://github.com/jsocol/django-adminplus
setuptools-golang,1104207,2023-07-29,0,7,1,0,103,0,True,25,https://github.com/asottile/setuptools-golang
pylev,1101697,2021-05-30,7,1666,1,0,99,3,False,7,https://github.com/toastdriven/pylev
docker-py,1100327,2018-02-01,29,4459,2,0,7213,569,False,60,https://github.com/docker/docker-py
jsonpath,1089180,2023-08-24,79,1250,1,0,23,4,True,7,https://github.com/masukomi/jsonpath-perl
pytrends,1085579,2023-04-13,20,509,2,0,3729,152,True,30,https://github.com/dreyco676/pytrends
inflector,1085558,2024-01-12,6,20,1,0,27,0,False,22,https://github.com/ixmatus/inflector
openapi-schema-pydantic,1084252,2022-06-29,49,4613,1,0,122,13,False,13,https://github.com/kuimono/openapi-schema-pydantic
python-baseconv,1080959,2019-04-04,17,140,1,0,42,1,True,6,https://github.com/semente/python-baseconv
dockerfile-parse,1080697,2023-07-18,16,182,4,0,142,12,False,19,https://github.com/containerbuildsystem/dockerfile-parse
nvidia-cuda-cupti-cu11,1079836,2024-08-16,57,1620,1,0,,,,3,
envyaml,1079206,2022-01-08,16,66,1,0,78,10,False,28,https://github.com/thesimj/envyaml
django-fake-model,1077214,2016-02-08,0,48,1,0,43,3,False,5,https://github.com/erm0l0v/django-fake-model
sshpubkeys,1075726,2021-02-04,9,748,1,0,99,12,False,17,https://github.com/ojarva/python-sshpubkeys
coreapi,1075716,2017-10-05,41,27673,1,0,183,29,True,104,https://github.com/core-api/python-client
looseversion,1073955,2023-07-05,27,760,3,0,20,0,False,9,https://github.com/effigies/looseversion
codetiming,1071830,2022-11-08,26,147,2,0,312,6,False,10,https://github.com/realpython/codetiming
ntlm-auth,1071636,2020-06-16,14,1561,2,0,54,1,False,12,https://github.com/jborean93/ntlm-auth
pytest-sftpserver,1070978,2019-09-16,4,17,1,0,37,22,False,8,https://github.com/ulope/pytest-sftpserver
gitlint-core,1070852,2023-09-02,2,220,1,0,910,62,False,65,https://github.com/jorisroovers/gitlint
django-htmlmin,1068314,2019-03-18,6,439,3,0,542,55,False,23,https://github.com/cobrateam/django-htmlmin
openpyxl-stubs,1058227,2023-01-12,1,14,1,0,9,9,False,25,https://github.com/MartinThoma/openpyxl-stubs
nvidia-nccl-cu11,1058069,2024-04-03,54,1614,1,0,,,,10,
liccheck,1057263,2023-09-22,7,96,1,0,182,26,False,44,https://github.com/dhatim/python-license-check
argh,1053120,2024-07-13,67,7792,1,0,382,46,False,65,https://github.com/neithere/argh
gevent-websocket,1053061,2017-03-12,75,4828,1,0,13,18,False,20,https://gitlab.com/noppo/gevent-websocket
nvidia-cufft-cu11,1052659,2024-08-17,56,1619,1,0,,,,3,
fastapi-cache2,1050427,2024-07-24,6,91,1,0,1866,110,False,17,https://github.com/long2ice/fastapi-cache
google-auth-stubs,1047988,2024-08-26,6,4,1,0,1,0,False,3,https://github.com/henribru/google-auth-stubs
trio-typing,1043190,2023-12-01,8,89,1,0,29,8,False,11,https://github.com/python-trio/trio-typing
pyppeteer,1042843,2024-02-18,74,2313,3,0,3942,212,False,35,https://github.com/pyppeteer/pyppeteer
flask-graphql,1042573,2019-12-05,7,213,2,0,1339,41,False,9,https://github.com/graphql-python/flask-graphql
annoy,1040600,2023-06-14,68,572,1,0,14295,86,False,45,https://github.com/spotify/annoy
pytest-watch,1037542,2018-05-20,196,3076,1,0,763,52,False,17,https://github.com/joeyespo/pytest-watch
py-openapi-schema-to-json-schema,1033427,2020-07-25,2,4,1,0,13,1,False,3,https://github.com/pglass/py-openapi-schema-to-json-schema
whoosh,1030327,2016-04-04,51,805,4,0,,,,141,https://bitbucket.org/mchaput/whoosh
darkdetect,1027239,2022-12-16,67,265,1,0,225,15,False,12,https://github.com/albertosottile/darkdetect
setuptools-scm-git-archive,1026472,2023-09-21,5,37,1,0,18,9,True,9,https://github.com/Changaco/setuptools_scm_git_archive
rauth,1024111,2017-01-22,5,1039,1,0,1599,38,True,36,https://github.com/litl/rauth
jinja2-time,1021740,2016-06-08,53,5561,1,0,73,15,False,2,https://github.com/hackebrot/jinja2-time
wordninja,1020394,2019-08-10,19,88,1,0,870,19,False,7,https://github.com/keredson/wordninja
xlutils,1018440,2016-06-09,19,675,1,0,,,,17,
lpips,1016478,2021-08-25,32,1578,1,0,4274,59,False,5,https://github.com/richzhang/PerceptualSimilarity
py-mini-racer,1016445,2021-04-22,26,74,4,1,768,19,False,27,https://github.com/sqreen/PyMiniRacer
pathmagic,1016307,2021-02-01,1,11,1,0,1,1,False,20,https://github.com/matthewgdv/pathmagic
meshio,1013636,2024-01-31,113,283,1,0,1815,185,False,213,https://github.com/nschloe/meshio
ib-insync,1012383,2023-07-02,9,49,1,0,3282,19,True,111,https://github.com/erdewit/ib_insync
ecos,1010942,2024-06-18,19,805,3,0,550,67,False,23,https://github.com/embotech/ecos
wikipedia,1005260,2014-11-15,148,7127,1,0,2883,198,False,20,https://github.com/goldsmith/Wikipedia
bson,1004819,2020-05-26,139,1519,1,0,466,32,False,24,https://github.com/py-bson/bson
cmakelang,1004391,2020-08-19,4,96,1,0,,,,3,https://github.com/cheshirekow/cmakelang
binapy,999725,2024-01-19,3,3,1,0,3,2,False,11,https://github.com/guillp/binapy
flask-dance,994261,2024-03-05,2,127,2,0,1016,49,False,52,https://github.com/singingwolfboy/flask-dance
waybackpy,992035,2022-03-15,7,174,1,0,604,23,False,35,https://github.com/akamhy/waybackpy
backports.weakref,990275,2017-09-17,15,4071,1,0,8,0,False,2,https://github.com/pjdelport/backports.weakref
geohash2,987792,2017-07-06,5,50,1,0,36,0,False,2,https://github.com/dbarthe/geohash
pymp4,986031,2023-05-07,6,6,1,0,93,16,False,11,https://github.com/beardypig/pymp4
ta,983241,2023-11-02,38,320,1,0,4233,137,False,55,https://github.com/bukosabino/ta
sphinxcontrib-redoc,979083,2020-04-17,11,158,1,0,35,20,False,10,https://github.com/ikalnytskyi/sphinxcontrib-redoc
redo,978486,2024-07-17,7,359,4,0,101,6,False,16,https://github.com/mozilla-releng/redo
xmljson,978223,2020-04-25,26,554,1,0,126,18,True,12,https://github.com/sanand0/xmljson
ldaptor,976531,2021-02-28,2,27,1,0,167,50,False,9,https://github.com/twisted/ldaptor
openunmix,974811,2024-04-16,0,75,1,0,1504,9,False,6,https://github.com/sigsep/open-unmix-pytorch
amazon-textract-caller,974082,2024-06-20,22,60,4,0,491,112,False,29,https://github.com/aws-samples/amazon-textract-textractor
manhole,971639,2024-07-04,2,73,1,0,402,9,False,24,https://github.com/ionelmc/python-manhole
sqlite-fts4,967466,2022-07-30,6,75,1,0,23,1,False,9,https://github.com/simonw/sqlite-fts4
urlextract,966991,2024-02-29,26,1678,1,0,278,30,False,33,https://github.com/lipoja/URLExtract
postmarker,966044,2022-01-15,2,48,1,0,149,22,False,43,https://github.com/Stranger6667/postmarker
rangehttpserver,965806,2024-08-27,6,48,2,0,185,6,False,10,https://github.com/danvk/RangeHTTPServer
pyapns-client,964290,2022-06-09,0,3,1,0,24,5,False,10,https://github.com/kukosk/pyapns_client
backports.tempfile,959529,2017-10-13,46,2226,1,0,5,4,False,2,https://github.com/pjdelport/backports.tempfile
coreschema,957028,2017-02-08,10,26209,1,0,15,12,True,4,https://github.com/core-api/python-coreschema
py-grpc-prometheus,956977,2024-02-29,5,43,1,0,54,9,False,10,https://github.com/lchenn/py-grpc-prometheus
fvcore,955101,2022-12-21,56,1311,1,0,2250,54,False,192,https://github.com/facebookresearch/fvcore
nvidia-curand-cu11,952616,2024-08-17,53,1615,1,0,,,,3,
pymacaroons,950135,2018-02-21,10,2982,1,0,81,20,False,35,https://github.com/ecordell/pymacaroons
mohawk,947134,2019-10-28,15,197,1,0,46,9,False,16,https://github.com/kumar303/mohawk
uncalled,947082,2024-07-11,0,1,1,0,20,2,False,5,https://github.com/elazarg/uncalled
vadersentiment,942178,2020-05-22,10,132,1,0,5059,56,False,14,https://github.com/cjhutto/vaderSentiment
blessings,940873,2018-06-21,66,3925,1,0,1488,32,False,10,https://github.com/erikrose/blessings
jsons,939626,2022-06-09,63,318,1,0,291,47,False,52,https://github.com/ramonhagenaars/jsons
proxy-protocol,938759,2024-04-27,1,2,1,0,17,1,False,33,https://github.com/icgood/proxy-protocol
pystray,935140,2023-09-17,39,143,1,0,571,40,False,36,https://github.com/moses-palmer/pystray
ps-mem,935131,2022-05-28,1,10,1,0,1637,22,False,3,https://github.com/pixelb/ps_mem
docker-compose,934753,2021-05-10,63,4283,4,0,38104,108,False,142,https://github.com/docker/compose
pycnite,934416,2024-07-31,1,4,4,0,27,0,True,10,https://github.com/google/pycnite
types-stripe,933016,2024-01-06,1,126,1,0,5118,372,False,30,https://github.com/python/typeshed
torch-ema,931645,2021-11-17,8,135,1,0,445,3,False,2,https://github.com/fadel/pytorch_ema
