nimi,lataukset_kk,viimeinen_julkaisu_pypi,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
avro-gen3,2814931,2024-09-05,4,67,2,0,6,1,False,36,https://github.com/acryldata/avro_gen
pastedeploy,2812880,2023-11-21,16,705,4,0,24,4,False,25,https://github.com/Pylons/pastedeploy
starlette-testclient,2812735,2024-04-29,1,57,2,0,13,2,False,6,https://github.com/Kludex/starlette-testclient
pyrect,2809013,2022-03-16,3,288,1,0,14,5,False,9,https://github.com/asweigart/pyrect
kubernetes-stubs,2807831,2022-04-20,1,49,1,0,6690,95,False,13,
red-black-tree-mod,2787635,2023-12-26,1,21,1,0,,,,9,
libsass,2778139,2024-01-06,76,2445,2,0,570,10,True,64,https://github.com/sass/libsass-python
geocoder,2771520,2018-04-04,64,1426,1,0,1658,123,False,109,https://github.com/DenisCarriere/geocoder
result,2757499,2024-06-02,52,139,3,0,1680,1,True,27,https://github.com/rustedpy/result
pytimeparse2,2752677,2023-05-11,13,10,1,0,19,0,False,8,https://github.com/onegreyonewhite/pytimeparse2
ratelim,2739360,2015-02-27,5,1037,1,0,96,4,False,8,https://github.com/themiurgo/ratelim
asciinema,2738813,2023-10-23,5,94,1,0,17786,10,False,12,https://github.com/asciinema/asciinema
mouseinfo,2721064,2020-03-27,6,278,1,0,34,9,False,8,https://github.com/asweigart/mouseinfo
py-ubjson,2718625,2020-04-18,6,180,3,0,45,4,False,11,https://github.com/Iotic-Labs/py-ubjson
reedsolo,2713199,2023-07-15,7,311,2,0,420,30,False,28,https://github.com/tomerfiliba/reedsolomon
dotty-dict,2706929,2022-07-09,26,957,1,0,91,14,False,16,
chroma-hnswlib,2692070,2024-07-22,26,841,1,0,22,9,False,13,https://github.com/chroma-core/hnswlib
futures,2685022,2022-10-31,267,15990,2,0,236,5,False,24,https://github.com/agronholm/pythonfutures
piexif,2681050,2019-07-01,81,1519,1,0,369,55,False,17,https://github.com/hMatoba/Piexif
editdistance,2676240,2024-02-10,92,2578,1,0,704,29,True,13,https://github.com/roy-ht/editdistance
hupper,2664664,2024-01-26,23,882,2,0,223,7,False,38,https://github.com/Pylons/hupper
python-editor,2664426,2019-02-01,56,32588,1,0,88,12,False,9,https://github.com/fmoo/python-editor
keyrings.alt,2663697,2024-08-14,46,5375,1,0,29,3,False,29,https://github.com/jaraco/keyrings.alt
uuid,2659166,2007-05-26,264,3330,1,0,,,,1,
grandalf,2651955,2023-01-26,27,474,1,0,269,14,False,3,https://github.com/bdcht/grandalf
pyzbar,2630730,2022-03-15,75,1685,1,0,698,89,False,9,https://github.com/NaturalHistoryMuseum/pyzbar
cx-oracle,2623415,2021-11-04,51,143,2,0,884,27,False,55,https://github.com/oracle/python-cx_Oracle
pandasql,2620905,2016-04-20,31,380,1,0,1347,59,True,31,https://github.com/yhat/pandasql
zfit-interface,2572716,2021-12-01,1,1,1,0,2,6,False,2,https://github.com/zfit/zfit-interface
swagger-ui-bundle,2570801,2023-11-01,27,1659,3,0,21,5,False,9,https://github.com/spec-first/swagger_ui_bundle
rx,2568339,2022-12-17,45,1994,2,0,5017,41,False,25,https://github.com/ReactiveX/RxPY
svgwrite,2566243,2022-07-14,79,1217,1,0,578,25,True,26,https://github.com/mozman/svgwrite
boa-str,2563924,2017-07-10,0,2,1,0,,,,2,https://github.com/astronomerio/boa
requests-aws-sign,2557412,2020-07-05,3,7,1,0,50,3,False,7,https://github.com/jmenga/requests-aws-sign
pycognito,2556052,2024-05-16,32,66,1,0,149,40,False,28,https://github.com/pvizeli/pycognito
primepy,2532691,2018-05-29,1,6,1,0,3,7,False,3,https://github.com/janaindrajit/primePy
urllib3-secure-extra,2528088,2022-08-01,8,56,2,0,0,1,False,1,https://github.com/urllib3/urllib3-secure-extra
requests-kerberos,2525017,2024-06-03,87,644,6,1,305,12,False,18,https://github.com/requests/requests-kerberos
pymeeus,2519962,2022-12-11,5,466,1,0,73,7,False,62,https://github.com/architest/pymeeus
oyaml,2513359,2020-08-18,61,518,1,0,185,0,False,10,https://github.com/wimglenn/oyaml
pytest-vcr,2512629,2019-04-26,62,1217,1,0,172,20,False,7,https://github.com/ktosiek/pytest-vcr
aws-lambda-typing,2498010,2024-04-02,1,16,1,0,106,6,False,75,https://github.com/MousaZeidBaker/aws-lambda-typing
pytweening,2496900,2024-02-20,19,735,1,0,128,4,False,9,https://github.com/asweigart/pytweening
gnupg,2490261,2017-09-06,18,425,1,0,424,98,False,29,https://github.com/isislovecruft/python-gnupg
azure-cosmosdb-nspkg,2475377,2017-10-05,9,343,1,0,27,30,True,2,https://github.com/Azure/azure-cosmosdb-python
pyscreeze,2449816,2024-08-20,25,324,1,0,214,84,False,29,https://github.com/asweigart/pyscreeze
azure-cosmosdb-table,2443124,2019-10-25,12,444,1,0,27,30,True,10,https://github.com/Azure/azure-cosmosdb-python
jproperties,2440088,2024-07-21,22,205,1,0,36,4,False,5,https://github.com/Tblue/python-jproperties
cfn-flip,2432536,2021-10-07,31,1101,1,0,999,0,True,23,https://github.com/awslabs/aws-cfn-template-flip
pkce,2431865,2021-02-08,22,89,1,0,28,0,False,4,https://github.com/RomeoDespres/pkce
uptime-kuma-api,2419366,2023-09-26,0,2,1,0,394,36,False,24,https://github.com/lucasheld/uptime-kuma-api
forbiddenfruit,2418090,2021-01-16,16,93,1,0,820,31,False,5,https://github.com/clarete/forbiddenfruit
flashtext,2400574,2018-02-16,19,208,1,0,5707,70,False,18,https://github.com/vi3k6i5/flashtext
scim2-filter-parser,2395164,2024-07-20,1,71,2,0,30,4,False,23,https://github.com/15five/scim2-filter-parser
pydruid,2395041,2024-05-16,17,552,6,0,520,90,False,33,https://github.com/druid-io/pydruid
pyqt5,2394894,2024-07-19,767,2667,1,0,,,,35,
python-pam,2387742,2022-03-18,6,286,1,0,119,11,False,7,https://github.com/FirefighterBlu3/python-pam
netifaces,2365582,2021-05-31,263,10026,2,0,338,34,True,15,https://github.com/al45tair/netifaces
aiohttp-jinja2,2357140,2023-11-18,38,987,3,0,240,7,False,35,https://github.com/aio-libs/aiohttp_jinja2
fasttext-wheel,2338987,2024-02-17,40,19,1,0,26529,554,True,1,https://github.com/facebookresearch/fastText
translationstring,2337587,2020-07-09,15,1952,2,0,27,10,False,9,https://github.com/Pylons/translationstring
findspark,2332806,2022-02-11,37,853,1,0,525,13,False,14,https://github.com/minrk/findspark
scrubadub,2331071,2023-09-01,4,25,2,0,433,22,False,13,https://github.com/LeapBeyond/scrubadub
django-ratelimit,2326166,2023-07-24,9,570,3,0,1149,47,False,14,https://github.com/jsocol/django-ratelimit
types-freezegun,2325409,2022-06-09,22,386,1,0,5118,372,False,16,https://github.com/python/typeshed
databricks,2324206,2018-11-15,4,38,2,0,,,,2,
textdistance,2320009,2024-07-16,35,584,1,0,3378,9,False,28,https://github.com/orsinium/textdistance
types-jinja2,2304474,2021-11-26,15,208,1,0,5120,341,False,14,https://github.com/python/typeshed
flask-talisman,2293719,2023-08-03,25,1000,3,0,87,6,False,15,https://github.com/wntrblm/flask-talisman
plaster-pastedeploy,2292182,2022-11-07,12,664,2,0,7,7,False,13,https://github.com/Pylons/plaster_pastedeploy
wordfreq,2291488,2023-11-21,12,127,2,0,1737,12,False,31,https://github.com/rspeer/wordfreq
databricks-api,2283396,2023-06-08,18,37,1,0,59,2,True,10,https://github.com/crflynn/databricks-api
retry2,2283386,2023-01-11,30,41,1,0,29,5,False,3,https://github.com/eSAMTrade/retry
enrich,2277039,2022-01-10,5,809,2,0,40,8,False,12,https://github.com/pycontribs/enrich
readerwriterlock,2273950,2021-09-06,23,83,1,0,104,3,False,10,https://github.com/elarivie/pyReaderWriterLock
jinja2-ansible-filters,2271107,2022-06-30,11,73,2,0,,,,6,https://gitlab.com/dreamer-labs/libraries/jinja2-ansible-filters
flask-shell-ipython,2257512,2024-09-05,10,493,1,0,194,2,False,8,https://github.com/ei-grad/flask-shell-ipython
pytest-ordering,2252681,2018-11-14,51,822,1,0,234,33,False,6,https://github.com/ftobia/pytest-ordering
boto3-type-annotations,2237043,2019-05-02,6,46,1,0,112,8,False,7,https://github.com/alliefitter/boto3_type_annotations
